class,cap-shape,cap-surface,cap-color,ruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
e,x,,c,t,p,f,c,b,w,t,c,s,,w,,p,w,o,p,n,a,d
p,x,g,g,f,f,,c,b,k,t,e,y,,o,,p,n,o,,,,l
p,f,y,p,f,f,f,w,n,k,e,,s,s,p,w,,,,,,s,l
p,f,f,e,f,f,f,c,b,h,e,b,s,s,c,e,p,w,o,e,n,s,g
e,f,f,g,f,l,a,w,b,n,t,r,s,s,g,c,p,w,o,n,n,c,w
p,f,s,b,t,a,a,w,b,p,,,k,k,b,y,p,w,,e,n,v,w
p,k,y,e,f,,f,w,n,u,,b,,s,e,,p,w,n,l,o,c,m
e,k,f,y,,,,,b,b,t,?,s,f,,w,p,n,o,p,k,v,g
p,x,y,y,f,f,a,,b,u,e,b,k,y,o,e,p,w,n,l,w,,m
p,f,y,g,f,,f,w,n,p,e,e,s,f,y,w,p,w,o,n,u,s,u
p,f,f,r,,,,c,b,,,e,s,,,w,p,w,o,e,w,v,d
e,f,,e,f,n,f,c,n,w,e,b,,k,p,g,,w,o,p,b,v,d
p,x,f,n,f,,f,w,b,u,e,?,s,s,c,y,p,w,o,f,w,c,d
p,f,,w,t,p,,,b,p,t,b,k,s,,o,,w,,l,u,v,
e,f,,n,t,l,f,c,,u,,?,,s,g,w,p,n,n,p,n,n,l
e,f,y,g,t,y,f,c,b,,e,,s,s,g,w,p,w,,p,u,v,l
e,,s,n,t,c,f,c,b,p,t,b,y,s,w,g,p,n,,p,k,s,d
p,,y,e,t,y,f,c,b,o,e,,k,k,w,,p,n,n,,w,s,d
p,b,g,y,f,p,a,,,p,,b,s,k,n,y,p,w,o,l,r,a,
e,f,,y,t,,f,c,n,,t,e,s,s,o,w,p,n,o,f,w,v,d
e,x,,n,t,n,f,c,n,b,,c,s,s,,g,,w,,n,n,y,
e,,s,g,f,n,f,c,b,,t,?,k,f,,y,p,o,t,,k,,d
p,f,f,n,f,s,f,w,,h,e,b,s,k,p,p,p,w,,p,b,v,p
p,x,y,b,,f,f,c,b,w,t,,k,y,w,g,p,w,t,p,,v,
e,f,f,n,t,p,f,c,b,b,,b,s,,n,c,p,w,o,,k,c,u
e,x,g,n,t,c,a,c,b,b,e,b,f,s,w,o,p,w,t,,w,y,p
e,x,,e,f,n,f,w,n,k,e,r,s,y,e,b,p,,o,n,k,a,d
e,f,s,e,,,f,w,n,p,,c,s,s,g,p,p,w,o,e,n,c,l
e,,y,n,t,,f,c,b,w,t,b,s,f,w,w,p,n,o,l,n,s,d
p,f,f,g,f,n,f,c,n,n,e,e,f,s,w,w,p,w,o,p,k,v,l
e,x,f,w,t,y,f,w,,n,,b,f,s,e,w,p,y,,,o,v,d
e,x,y,e,t,n,,w,,p,,,f,,,p,p,w,o,p,w,,g
e,,g,y,t,p,f,c,b,w,t,e,s,s,w,w,p,w,t,,w,,g
p,f,f,,t,,f,,b,p,t,r,k,f,w,p,p,w,o,l,o,n,g
p,f,,n,f,a,f,c,n,b,,e,,f,p,g,p,y,t,l,k,,w
p,f,y,n,t,y,f,c,,b,t,,k,k,w,w,p,w,o,,y,,l
e,x,f,n,,n,f,c,n,w,t,?,s,f,p,w,,n,n,l,n,s,g
e,x,,c,t,a,,,b,w,t,r,s,y,w,,p,n,,l,k,a,g
e,x,y,e,f,,a,c,b,b,,b,k,y,w,p,p,,o,p,w,y,u
p,f,s,r,f,n,f,c,b,p,t,c,k,y,w,p,p,w,t,l,,y,l
p,f,s,y,f,m,,w,n,,e,e,s,s,e,w,p,w,t,n,w,,l
e,f,g,r,,n,f,w,b,,e,?,s,f,e,g,,w,o,l,r,v,d
e,x,s,w,f,l,f,,b,w,t,r,s,s,w,w,,w,o,p,n,s,p
p,x,y,e,t,n,f,,b,n,t,?,k,k,w,,p,o,t,,w,s,m
e,x,f,y,f,l,f,c,b,k,t,b,,s,w,w,p,y,o,e,o,s,l
e,f,g,g,t,a,a,c,,n,t,,s,s,b,c,,w,o,e,n,s,d
p,x,y,e,,f,f,c,,b,e,?,k,k,,p,,n,t,e,w,y,p
e,x,y,,f,s,f,c,b,u,t,?,s,,p,b,p,y,t,n,b,y,m
e,,y,c,t,s,,,n,p,e,c,,f,b,,p,w,,e,n,v,d
p,f,f,n,t,y,f,c,n,b,e,?,s,k,,w,,o,,e,n,,p
e,b,s,p,t,f,f,w,b,h,t,c,s,k,b,w,p,n,o,p,,s,g
e,s,,e,f,m,a,c,b,p,t,,s,k,g,n,p,,t,l,w,v,l
p,x,,e,t,m,f,c,,w,t,c,k,s,p,y,p,n,t,n,,c,p
e,f,y,,f,,f,w,b,n,t,b,k,y,w,n,p,w,o,e,w,s,g
p,f,,u,f,f,f,c,b,g,e,e,s,s,w,w,p,w,t,l,k,s,l
p,k,f,e,t,f,a,c,,g,e,?,k,s,b,w,p,w,o,f,k,v,l
p,f,y,g,f,n,f,c,b,b,,b,s,k,e,b,,y,o,,k,,d
e,x,f,,f,,a,c,b,n,e,b,s,s,g,w,p,w,o,,h,y,l
e,,y,w,t,a,f,w,b,o,e,c,s,s,o,o,p,n,t,p,n,s,m
p,x,,n,t,n,f,c,n,w,e,c,,k,,w,p,n,o,f,,v,d
e,b,f,r,,a,f,c,n,g,t,,y,k,b,y,p,w,t,n,y,n,l
p,,f,e,f,y,,c,n,w,t,c,k,,,y,p,w,o,p,w,v,u
p,f,s,,f,s,f,c,,b,t,?,s,k,p,w,p,w,n,e,,c,l
p,x,f,y,f,y,,c,b,p,e,,k,k,b,p,p,w,o,,h,c,g
p,f,,e,t,f,f,c,b,,e,b,,s,w,w,p,w,o,,h,v,g
e,x,y,p,t,m,a,w,b,y,t,r,s,s,w,,p,w,o,n,n,,d
e,x,f,g,f,n,,c,,u,,b,s,y,g,p,p,o,o,p,,y,d
p,b,f,n,f,n,a,c,b,g,e,b,k,y,b,n,p,,n,n,k,v,m
p,x,y,g,,f,f,c,n,w,t,?,s,f,w,p,p,w,o,l,w,,l
p,,y,p,f,f,f,c,b,k,,b,k,k,b,c,p,w,o,,,v,
e,,y,n,f,,f,w,n,r,e,b,k,,,w,,w,,p,o,v,
e,x,f,e,f,c,a,,n,w,e,?,k,k,p,w,p,,o,e,k,s,l
e,x,f,,,n,f,w,b,k,t,?,s,s,w,,,w,t,l,h,,m
p,c,s,e,t,f,,,b,b,,e,s,s,w,w,,n,o,,w,v,d
p,k,s,y,t,a,a,c,b,p,t,?,f,f,p,o,p,n,t,p,w,,p
e,f,f,y,,c,f,c,b,p,t,?,,k,w,y,p,o,,n,n,s,
e,x,s,y,f,m,f,c,n,g,e,,k,,w,n,p,,o,e,k,c,p
e,c,s,g,f,n,f,w,n,k,e,?,f,k,w,o,p,w,o,,k,,g
e,b,,b,t,,f,c,b,u,e,e,s,f,w,o,p,w,t,e,k,,m
p,x,y,n,t,c,,w,b,p,e,b,s,k,w,p,p,w,,p,h,v,d
e,x,f,r,t,l,a,c,b,o,e,?,,s,w,p,p,w,n,l,h,a,
p,s,s,g,f,f,f,,,p,t,?,s,k,n,p,,w,t,e,w,v,d
e,f,f,y,t,n,f,c,n,g,t,,,f,w,g,p,w,t,e,h,,p
p,,,e,f,y,f,c,n,b,t,b,k,s,b,p,,w,o,,w,v,l
e,s,f,n,t,n,f,c,b,r,e,b,k,f,w,,p,n,o,f,o,,l
p,f,s,w,f,n,f,w,n,w,t,b,k,s,w,w,p,w,t,n,y,v,u
p,x,,y,f,l,f,w,n,w,t,?,k,k,g,,,w,o,p,h,,g
p,f,g,y,f,m,f,w,b,u,t,b,s,s,,,p,w,o,,b,v,w
p,f,s,n,f,,,w,b,b,t,e,s,,n,w,p,w,o,n,r,a,
p,f,y,w,,y,f,w,n,b,e,b,s,,w,g,,y,,l,w,y,u
p,b,y,u,f,y,f,c,n,u,t,b,k,y,w,w,p,w,o,l,h,,
p,,f,e,,c,f,c,n,w,e,,f,s,w,o,p,w,o,l,h,s,m
p,f,f,p,t,p,f,,n,h,t,r,k,k,,w,p,,t,e,,a,d
e,f,y,,f,n,f,c,,,t,r,k,,p,p,p,w,o,e,h,y,g
p,k,f,g,t,a,f,c,b,g,t,b,k,f,,n,p,y,t,,,v,l
e,x,,n,t,p,a,w,n,n,t,,s,s,y,w,p,w,,p,h,a,w
e,c,y,e,t,,f,c,,k,e,c,s,s,w,w,p,y,,p,r,s,w
e,x,f,,,n,a,c,n,,t,?,,,w,,p,w,t,,n,,p
e,x,s,g,f,y,,w,b,,e,,s,,w,,p,y,,e,n,v,u
p,s,s,g,f,f,f,c,,h,e,b,k,k,n,n,p,n,t,l,h,y,l
p,x,s,p,f,,f,c,b,n,t,?,k,s,w,p,p,w,o,e,h,v,g
p,x,,w,t,,a,c,,h,e,e,s,s,o,,p,,o,l,w,s,p
e,,,g,f,n,f,c,n,n,e,e,,y,w,,p,,o,f,,v,u
e,x,,,f,y,a,,b,o,e,e,s,s,g,p,p,w,o,f,k,a,m
p,k,s,y,f,,f,w,b,u,t,b,k,y,,o,p,y,n,f,n,c,g
e,k,s,w,t,f,f,c,,b,t,b,k,k,y,w,p,,o,f,w,v,g
e,c,f,b,t,y,f,c,n,,,b,,s,p,e,p,w,,p,w,s,l
e,f,y,n,t,y,a,c,b,,e,b,s,y,,w,,w,o,,w,v,m
p,x,,e,f,y,f,c,b,e,e,b,s,s,w,g,p,w,o,p,n,c,p
e,c,f,y,f,,f,c,n,n,,c,s,y,g,w,,w,o,e,n,v,l
e,,y,c,f,n,f,c,n,u,,,s,s,p,n,p,w,o,e,o,c,d
e,c,y,y,t,,f,c,n,g,t,b,f,y,w,w,p,w,o,e,n,v,m
e,,f,p,t,a,f,w,b,h,t,e,k,s,o,w,p,w,n,l,o,c,m
e,c,s,g,t,n,a,c,b,p,t,c,s,s,b,g,p,y,o,p,n,v,d
p,c,s,e,,y,f,c,,p,t,b,s,s,e,w,p,w,n,p,,c,l
p,x,y,e,f,n,f,c,,b,,b,,s,c,,p,w,t,,n,y,g
p,k,s,,t,f,f,w,n,p,e,r,f,s,c,p,,w,o,l,k,c,d
e,b,f,,,n,f,c,b,u,,b,,s,y,w,,w,o,p,u,y,w
p,,g,,,y,f,c,b,,e,e,k,f,w,,,o,o,p,o,v,g
p,b,y,e,,f,f,c,,b,e,b,s,s,,g,p,o,o,p,w,v,g
p,c,,e,f,f,f,c,n,e,t,c,,f,p,p,p,w,o,e,w,c,d
e,f,s,g,t,n,f,c,b,p,t,b,s,s,g,w,p,w,t,n,k,y,p
p,k,f,e,f,c,a,c,n,,e,,,s,w,w,p,,o,,,y,l
p,b,g,e,t,m,f,w,b,,t,,k,s,p,g,,w,t,p,h,v,u
e,,,w,f,p,f,c,b,w,e,b,s,,o,w,p,w,,e,w,c,d
e,f,s,g,t,p,f,c,b,b,,?,s,,p,w,,w,o,l,h,,p
p,x,f,g,f,l,f,c,b,p,e,,s,s,y,p,p,y,,p,k,v,d
p,x,s,r,t,,a,c,b,b,t,,k,f,w,w,p,o,,p,h,y,g
p,c,,e,f,f,f,w,b,n,e,r,s,k,o,w,p,,o,p,k,v,p
p,x,s,,t,f,f,c,b,e,e,b,s,k,b,,p,n,t,p,k,s,u
e,x,f,g,f,f,a,c,n,,e,b,y,k,e,w,p,w,o,p,o,,d
p,x,,,f,f,a,c,b,p,e,r,,k,b,p,p,o,n,l,h,v,d
e,f,,u,f,c,a,c,b,w,t,b,k,s,,c,p,w,o,l,n,s,d
p,x,f,e,f,p,f,w,n,p,t,,y,k,w,w,,w,o,e,n,a,m
e,s,y,e,f,n,f,c,b,w,e,b,k,f,n,w,p,,o,p,n,c,g
e,x,f,y,f,n,f,w,b,,t,b,s,s,y,y,,o,,p,n,v,d
p,f,g,n,f,l,f,,n,y,e,r,,y,p,n,p,w,,l,,n,d
p,,f,p,f,,f,c,b,y,e,b,s,f,b,w,p,n,o,p,h,v,p
e,x,f,c,t,n,,w,n,k,e,?,k,f,b,g,p,o,o,p,h,s,d
e,,g,g,t,,f,w,b,o,e,e,s,s,p,p,p,w,o,l,o,y,d
e,x,s,y,t,,f,,b,w,e,?,s,k,w,n,p,w,o,,w,v,
e,s,f,w,t,p,f,c,,u,e,b,,s,w,w,,w,o,e,,v,d
p,x,f,e,f,,f,c,,b,,,s,k,,c,p,w,t,p,h,c,g
p,k,,y,f,c,f,c,n,,t,,f,f,b,w,p,n,,p,h,y,p
e,k,s,b,f,,,,b,,t,e,s,s,b,w,,,o,p,h,s,w
e,k,g,e,t,l,f,w,b,u,e,e,k,f,b,,p,w,t,p,n,v,d
p,f,s,w,f,l,f,,n,u,t,e,f,s,w,w,p,,o,,w,y,m
p,,y,p,t,s,f,c,n,,t,r,,s,w,p,,w,o,e,n,v,
e,c,g,w,f,,,w,b,w,e,?,s,k,w,w,p,,o,p,y,s,g
p,x,f,u,f,f,a,c,b,y,,b,y,k,n,p,p,y,t,l,h,y,
e,x,f,n,f,n,a,c,n,w,,c,s,s,w,b,p,n,n,l,,y,d
e,f,s,,t,l,f,c,,h,,r,s,y,n,w,,o,,n,w,v,g
e,b,s,b,t,l,,c,b,,e,c,f,s,w,o,p,w,,p,,s,p
e,k,g,g,,n,f,w,n,e,e,r,s,k,g,c,p,w,t,e,,s,g
e,k,f,u,t,n,f,c,b,n,t,b,k,y,p,p,p,,o,e,n,y,g
e,x,f,n,t,m,f,c,b,p,t,?,k,f,p,n,p,w,n,l,n,,w
e,x,s,w,t,,,,b,y,t,,,s,g,,p,w,o,e,n,v,u
e,,f,,f,n,f,,b,p,e,c,k,s,,e,p,o,o,l,k,y,d
e,f,s,r,f,m,f,w,,p,t,?,s,s,w,w,p,w,o,p,w,,d
p,x,y,p,t,n,,c,n,p,t,c,y,,w,,p,w,t,f,w,v,d
p,x,s,w,f,a,f,w,n,,t,c,s,k,w,,p,w,o,f,h,v,d
e,k,y,e,f,c,f,c,,w,e,b,,s,y,w,p,w,o,f,n,s,d
e,,y,u,t,y,f,c,b,o,t,r,s,k,c,,p,n,o,p,h,,p
p,b,f,n,f,,,c,n,e,e,?,,k,g,,p,n,o,e,w,c,p
p,b,f,b,t,y,f,c,n,r,t,e,,s,o,w,p,w,n,e,h,v,d
p,x,,n,t,f,f,w,b,b,e,c,s,y,p,w,p,,o,e,w,s,d
e,k,y,w,t,a,f,c,b,k,t,c,s,s,c,w,p,w,o,,n,s,
p,x,s,r,f,,f,c,n,w,,?,s,s,n,o,p,w,,,,n,u
e,f,y,y,f,n,f,w,n,n,,b,s,s,n,b,p,o,o,p,,c,
p,b,y,g,f,,f,w,b,b,e,b,y,k,n,w,p,w,o,l,r,v,g
e,,s,g,t,n,f,,,k,t,b,y,s,w,e,p,w,o,e,r,v,l
e,x,y,y,f,n,,c,n,p,e,e,f,,w,w,p,w,o,e,y,v,u
p,,f,y,f,f,f,c,b,g,e,b,,,p,n,p,y,n,l,h,y,p
p,x,s,w,,y,f,c,n,,e,b,f,f,w,g,p,n,o,l,k,v,
e,b,s,p,t,a,a,c,b,,t,r,s,s,w,w,p,o,n,l,w,n,w
e,,y,e,t,p,f,w,b,g,e,?,s,f,w,w,p,n,o,n,y,n,u
e,b,s,e,f,,f,c,b,w,,b,,k,w,,p,w,t,e,k,y,d
e,f,y,,,n,f,w,b,p,e,e,s,k,,p,,w,o,l,y,v,l
p,b,s,r,f,f,f,w,b,p,t,b,,s,w,p,p,,o,p,n,v,d
e,x,f,n,f,l,f,,b,g,t,?,s,k,w,y,p,o,n,e,o,a,d
e,x,s,,,l,a,w,b,n,t,?,s,s,e,w,p,w,t,e,,v,g
p,,f,g,t,m,f,w,n,r,e,b,k,k,c,b,p,w,t,p,r,v,d
p,,y,b,,f,,c,b,,t,e,y,k,o,b,p,w,o,l,k,v,d
p,f,,e,f,f,a,w,b,w,t,c,s,s,g,w,p,n,t,p,n,,u
e,k,y,g,f,p,,c,,h,,,s,s,,g,p,w,o,p,h,v,u
e,f,f,b,,n,f,c,b,b,e,b,s,s,o,g,p,n,o,e,k,y,m
p,,,n,t,f,a,,b,p,t,b,f,s,w,w,p,w,,p,h,y,m
e,f,y,b,f,n,a,c,n,,t,b,k,s,w,w,p,w,,,y,c,g
p,k,y,,f,f,f,c,b,,,b,f,k,w,w,p,y,o,p,b,v,m
p,x,y,,f,l,a,c,b,p,,b,k,k,p,e,p,w,o,l,n,v,d
p,x,y,e,f,f,a,c,b,,e,?,,k,w,p,p,y,o,f,y,v,p
p,x,f,y,f,f,f,w,b,g,e,?,k,,,p,,,o,,,y,d
p,x,s,b,t,n,f,c,b,b,,?,k,k,w,c,p,w,t,e,,v,p
p,x,y,g,f,n,f,c,,b,,b,k,s,p,w,p,,o,n,k,v,d
e,,f,p,t,f,f,w,b,r,e,e,k,f,y,w,,w,o,f,w,y,g
e,x,s,,t,n,f,,b,h,e,b,k,,c,p,p,w,o,e,h,v,u
e,f,,e,f,p,f,w,b,p,e,?,y,s,g,n,p,w,o,e,n,y,g
e,f,,n,t,m,f,c,n,y,e,e,s,f,e,,p,w,o,,n,a,p
p,f,f,y,,f,f,c,n,,e,?,s,k,p,c,p,o,t,f,w,v,d
p,f,,e,,c,f,c,b,g,e,c,k,,c,g,p,w,o,p,h,v,u
p,f,s,g,f,,f,c,b,h,t,?,s,,w,c,p,w,t,f,y,s,g
e,f,,n,t,,f,,b,p,t,?,s,y,w,n,,,,,w,,p
e,k,y,e,t,n,f,c,b,e,e,r,s,s,,w,p,w,t,,,c,w
e,,s,y,t,n,f,c,b,h,e,r,k,k,w,p,,w,,p,k,a,
e,s,f,r,t,,f,c,n,k,e,e,,k,c,w,p,w,n,l,w,v,d
e,x,g,n,t,n,a,c,b,u,e,e,s,s,w,w,,w,n,p,n,y,m
p,f,g,u,f,y,a,,n,g,,r,s,s,n,w,p,y,o,e,k,v,g
e,f,y,g,t,a,f,c,,p,t,c,s,s,c,w,p,,o,p,k,a,g
p,f,f,n,f,l,a,w,n,h,e,?,y,k,b,b,p,w,n,e,o,a,
p,x,y,r,f,f,a,,b,b,t,b,y,f,p,p,,y,o,n,w,n,d
e,x,f,,f,a,a,c,b,h,t,b,s,s,w,p,p,n,o,e,b,y,g
e,x,f,n,t,n,f,c,b,w,t,,,f,g,b,p,w,,e,o,,d
e,x,f,,t,a,f,c,b,p,,r,s,k,w,,p,w,,e,k,y,
e,f,g,,,p,f,,n,o,,?,k,s,y,n,p,w,t,,h,c,u
p,f,y,n,,p,f,w,,p,,e,s,s,b,w,p,n,o,,n,y,g
e,,s,,t,n,f,w,b,h,t,,s,s,w,w,p,w,,p,k,s,d
e,f,f,,t,n,f,c,n,p,t,b,s,s,o,p,p,y,o,p,w,,d
p,,s,g,f,s,a,w,n,k,t,c,y,s,,p,p,,o,e,n,v,u
p,f,s,,f,f,f,w,,,e,b,k,f,n,y,p,w,n,p,o,v,
e,,f,w,f,n,f,w,b,k,t,e,f,,w,p,p,w,o,n,n,a,g
e,,y,r,t,n,,c,b,n,e,?,,s,w,n,p,w,,e,w,y,p
p,k,y,n,,s,,c,n,b,e,e,k,f,w,e,p,w,,,w,v,m
e,x,f,y,f,a,a,c,b,w,,b,s,k,,p,p,w,n,p,w,y,d
e,x,s,p,t,l,f,c,b,,e,b,s,s,g,w,,w,o,e,h,v,g
e,k,s,g,f,n,f,c,b,,e,,s,s,w,b,p,o,o,n,k,v,g
e,f,f,p,f,p,f,w,b,w,e,?,s,,w,n,,w,o,p,o,y,d
e,x,y,,t,n,f,c,,p,e,b,s,k,w,w,p,y,,p,n,,d
p,c,f,n,f,p,,w,b,k,t,b,k,s,w,w,p,w,,p,h,v,l
e,k,y,r,f,,,,n,p,t,e,s,s,b,w,p,w,o,e,k,a,g
p,x,y,n,,a,,c,n,g,e,,s,f,w,w,p,w,o,e,o,y,u
e,s,,g,t,n,f,w,b,g,t,r,,s,p,o,p,w,o,p,w,c,p
p,x,f,,f,c,f,c,,p,t,c,k,y,p,e,p,y,o,e,w,s,d
p,k,f,y,f,s,f,w,,n,e,,f,y,,p,p,w,o,f,k,y,l
e,f,y,y,f,n,,,,p,t,c,s,s,,b,p,w,n,,h,v,
p,x,s,b,f,f,,c,,,e,,s,,w,b,p,w,o,p,,n,
p,x,y,g,f,f,a,c,b,e,e,b,,k,p,b,p,n,,l,h,v,d
p,k,s,e,f,m,f,c,n,b,t,?,s,s,y,o,p,,o,e,,v,l
e,f,s,b,t,a,f,c,,,e,?,k,s,w,y,p,w,n,p,,,m
p,x,s,w,f,,f,,n,b,t,c,k,s,,g,p,w,,e,,v,g
e,x,s,r,,l,a,w,n,,t,,s,s,o,w,p,w,o,p,n,,d
e,,g,n,f,n,,w,n,u,e,b,s,s,b,b,p,w,o,p,k,a,g
e,f,f,e,t,n,f,c,n,w,e,e,s,f,y,n,p,w,o,e,k,,
e,f,s,e,f,,f,c,b,,t,?,k,f,w,w,p,w,t,l,w,c,d
e,f,g,c,f,n,f,w,n,,e,?,k,,b,w,p,w,,l,k,c,d
p,x,f,e,f,y,f,c,b,b,t,c,s,,p,n,p,n,o,p,w,s,u
e,f,s,p,t,n,f,w,b,g,t,,,k,e,w,p,,t,,k,c,w
e,s,f,g,t,n,f,w,,h,t,c,f,s,,y,p,w,t,l,b,c,d
e,b,s,c,t,m,a,c,n,n,e,c,,s,c,o,p,w,,l,u,s,u
e,c,y,e,f,n,f,c,b,e,,,y,k,o,,p,w,,p,u,v,p
e,,s,n,t,p,f,c,b,,e,c,,s,w,b,p,w,o,n,n,c,d
e,f,y,g,,n,f,c,b,h,t,,s,s,w,w,p,,o,,k,s,w
e,x,y,n,f,f,f,c,n,,t,?,s,s,g,p,p,w,o,e,,a,g
p,,s,y,t,,f,c,n,w,,e,s,s,n,,p,,o,p,w,v,l
p,x,s,g,f,s,f,c,n,y,e,,s,y,o,w,p,w,o,e,h,a,u
p,f,s,b,t,a,f,c,b,,t,r,s,f,y,g,p,,o,p,h,s,u
e,k,y,e,t,n,f,c,b,p,t,?,y,s,w,w,p,o,o,p,k,v,d
e,x,g,,t,n,f,w,n,p,t,b,s,k,w,o,p,n,o,e,w,s,g
e,f,,c,f,n,f,c,b,n,e,e,,k,b,y,p,,o,p,n,a,l
p,f,f,g,f,n,f,,,b,t,e,s,,n,p,p,w,o,p,k,a,d
p,,y,e,f,s,a,,n,n,e,c,s,s,n,p,p,o,,l,,a,d
p,x,,w,f,,f,w,n,h,,?,f,k,y,,,w,o,e,w,y,d
p,x,y,,t,f,a,c,b,n,e,b,s,k,y,p,p,w,,e,w,n,d
p,f,s,p,f,f,a,c,b,w,e,b,,s,o,b,p,,o,l,k,c,g
p,f,,e,f,s,f,c,n,b,t,?,s,s,p,b,p,o,o,e,w,v,l
p,c,f,y,f,a,a,c,b,p,t,?,s,s,w,,p,w,t,,,,p
p,k,s,,f,s,f,,b,,t,c,s,k,,p,p,w,t,l,h,n,g
p,k,f,c,f,m,f,w,b,b,t,b,s,s,p,n,p,w,o,p,w,s,m
e,,y,y,f,y,f,c,n,u,,b,f,s,g,g,p,n,o,f,k,,
p,f,y,n,t,p,f,c,n,w,t,e,s,s,o,w,p,,o,p,n,,g
p,b,g,,f,f,,w,b,p,t,b,k,y,,p,p,w,o,p,,,g
e,k,f,y,t,n,f,,,e,t,b,s,s,e,,p,o,o,,h,y,m
p,,s,g,f,s,f,w,b,h,t,,y,s,y,e,,,o,p,h,s,u
e,f,s,e,f,n,a,c,b,p,t,?,y,k,w,,p,w,o,,w,v,g
e,s,f,,,n,f,w,n,p,t,r,,k,n,w,p,o,o,e,,a,l
p,x,,n,t,f,f,w,b,b,,e,s,,,w,,w,,p,h,y,d
p,x,,g,f,f,f,c,n,h,e,c,y,f,p,g,,n,,,w,v,d
p,x,,u,f,a,,c,b,o,e,r,s,k,w,w,p,o,o,f,u,y,d
p,b,f,g,f,f,,c,b,b,e,,s,f,w,y,p,,o,l,o,y,g
p,x,,w,f,p,f,c,n,g,e,b,s,,n,w,p,y,o,,w,,d
e,x,f,c,t,n,f,c,n,y,e,?,f,f,w,o,p,y,o,l,,v,m
p,b,f,n,f,,,c,b,o,,r,k,s,n,y,p,w,o,f,h,y,d
e,b,s,y,t,n,f,c,,,t,r,s,s,w,,p,n,o,n,k,y,w
p,,y,e,f,,a,c,n,g,e,?,,y,o,b,p,w,t,p,n,s,u
e,x,y,b,t,,f,c,b,e,e,?,s,f,w,w,,w,t,e,u,n,w
p,x,g,g,t,f,a,w,n,u,e,b,,k,,w,p,n,o,l,w,s,w
p,x,g,r,f,s,f,w,b,b,t,?,s,s,b,n,p,w,o,,w,y,p
p,x,y,n,t,y,f,c,b,p,t,r,,s,w,o,p,,o,f,h,c,l
e,x,f,w,f,n,f,w,n,u,,b,y,s,w,,p,w,o,l,k,s,w
e,f,,w,f,m,f,w,b,b,t,,s,k,w,w,p,o,t,e,y,,g
e,b,y,g,f,f,f,w,b,,t,r,s,f,n,b,p,w,,,,y,u
e,c,,w,f,,f,c,n,y,t,?,k,s,w,w,p,w,,e,n,n,d
e,x,y,w,,n,a,,b,,t,b,,f,,c,,w,t,e,n,,p
e,k,f,b,,n,f,w,b,u,e,b,,s,w,w,p,n,o,e,h,c,g
e,s,y,g,f,y,a,c,,p,e,?,k,s,y,,p,w,o,e,h,s,g
p,,s,n,f,f,a,c,b,b,,b,s,s,c,w,p,w,t,l,h,v,l
e,s,s,w,f,n,f,c,n,w,t,r,y,s,p,w,p,w,n,p,,a,m
e,x,s,n,f,m,,c,,b,t,e,s,,w,n,p,w,o,f,h,,g
e,c,y,y,t,n,f,,n,n,t,,s,k,w,p,p,w,t,e,,c,w
p,f,s,u,f,f,a,c,b,,t,b,s,k,g,w,p,y,o,f,k,c,d
e,b,f,,,s,,w,n,b,t,b,k,,,,,w,o,p,,v,d
e,f,y,,f,n,f,c,,,e,,s,,,y,p,w,o,p,k,y,u
p,,y,n,f,,a,c,b,,e,?,,s,n,p,p,w,o,e,n,,m
p,s,g,e,,l,f,c,b,b,t,?,s,s,p,p,,w,,p,w,c,
p,k,s,n,f,f,f,c,n,b,t,?,,k,p,p,p,w,o,l,w,,l
p,k,,n,,y,f,,n,b,t,?,k,k,g,p,p,w,o,e,w,v,d
e,b,,n,t,n,f,w,b,p,t,e,f,s,g,y,p,,,p,w,n,g
p,x,s,,f,f,a,c,b,n,e,b,s,k,,c,p,w,o,e,n,,
e,x,s,e,f,n,f,,b,,,?,k,s,w,e,p,w,t,e,n,y,d
e,x,,n,t,n,a,w,n,,t,e,s,s,e,y,p,w,,p,,v,g
e,x,,p,t,y,f,c,n,,t,?,f,s,p,p,,n,o,e,u,v,p
e,,s,n,f,,f,c,n,u,e,e,s,f,p,b,p,w,o,f,k,y,
e,x,f,w,f,n,,c,b,r,t,e,k,,w,p,p,n,o,l,,a,d
e,k,,g,f,y,a,c,n,h,e,,f,s,,,p,n,o,e,n,,d
p,x,y,n,t,f,f,c,n,p,t,b,k,k,w,w,p,,o,p,k,y,
e,c,y,n,,n,f,w,b,p,t,b,s,,w,y,,o,o,l,w,,l
e,x,f,g,t,n,f,c,b,p,t,?,f,s,g,c,p,,o,p,,v,m
p,f,f,g,t,,f,w,b,n,t,r,k,k,b,,,w,o,l,n,,u
e,x,,g,f,f,,w,b,y,e,?,,s,w,p,p,w,o,,n,c,
e,f,y,n,f,c,f,c,b,,t,?,s,y,,p,p,n,t,l,h,,p
p,c,y,y,f,s,f,c,n,,t,?,f,k,p,w,p,w,,e,w,y,p
e,c,y,,t,l,f,c,b,g,e,e,k,s,p,b,p,n,o,f,n,y,d
e,k,f,e,f,n,f,c,,h,e,b,k,,w,b,p,w,o,p,n,v,m
